id,name,description,steps,tools,notes,created_at,updated_at
1,set_reminder,How to set reminders for I)ruid,"[""Follow scheduling SOP first (verify timezone from database)"", ""Determine if reminder is event-related or standalone"", ""EVENT-RELATED: Add notification to existing calendar event"", ""STANDALONE (preferred): Send Signal message at the specified time using Clawdbot cron with wakeMode: now for immediate delivery"", ""STANDALONE (alt): Create calendar event with time = desired_time + 10min (so 10-min-before default fires on time)"", ""For calendar method: create event well in advance (10+ min) so reminder window hasnt passed"", ""Signal ping format: ⏰ Reminder: [text]"", ""Long-term: Use Nova app push notifications when available""]","{cron,message,""gog calendar""}",Always use wakeMode: now for time-sensitive reminders (not next-heartbeat). next-heartbeat can delay delivery by several minutes.,2026-01-31 02:43:31.637221,2026-01-31 02:56:47.26011
2,create_social_account,Checklist for creating a new social media account,"[""Create the account with email nova@dustintrammell.com"", ""Set username to @NOVA_Openclaw (or NOVA_Openclaw if @ not allowed)"", ""Set display name to NOVA"", ""Write a bio that reflects personality from SOUL.md"", ""Upload profile picture from avatar files (use appropriately sized version)"", ""Set any available profile fields (location, website, etc.)"", ""Store credentials in 1Password (NOVA Shared Vault)"", ""Update TOOLS.md with account details and CLI config if applicable"", ""Follow/connect with I)ruid account on that platform"", ""Make an introductory post if appropriate""]","{1password,browser}","Avatar sizes: NOVA-large.png (full res), NOVA-med.png (GitHub/Google), NOVA-small.png (Signal/small avatars). All in ~/gdrive-shared/",2026-01-31 02:44:09.24516,2026-01-31 02:44:09.24516
3,upload_nova_app_apk,Build and upload Nova app APK to shared GDrive,"[{""order"": 1, ""action"": ""Bump version in android/app/build.gradle.kts (versionName) AND SettingsScreen.kt (display string)""}, {""order"": 2, ""action"": ""Build: cd ~/clawd/nova-app/android && ./gradlew assembleDebug""}, {""order"": 3, ""action"": ""Copy to local staging: cp app/build/outputs/apk/debug/app-debug.apk ~/gdrive-shared/nova-app/nova-app-v{VERSION}-debug.apk""}, {""order"": 4, ""action"": ""Move previous version to old-builds: gog drive move {PREV_APK_ID} --parent 1h4fQpcEG7JxVXKYy3iVxR8WZGYMRaJbx""}, {""order"": 5, ""action"": ""Upload new APK: gog drive upload --parent 1KBMipIChLecQOPaFkmo8Cs3YkRHRahHe ~/gdrive-shared/nova-app/nova-app-v{VERSION}-debug.apk""}, {""order"": 6, ""action"": ""Commit: git add -A && git commit -m \""description (vX.Y.Z)\""""}]","{""gog drive"",gradle}","GDrive IDs: nova-app=1KBMipIChLecQOPaFkmo8Cs3YkRHRahHe, old-builds=1h4fQpcEG7JxVXKYy3iVxR8WZGYMRaJbx. Naming: nova-app-v{VERSION}-debug.apk. Must export GOG_KEYRING_PASSWORD first. Only latest APK in nova-app root; older versions in old-builds.",2026-01-31 03:16:44.781323,2026-01-31 03:28:20.575251
5,Add STT Vocabulary,Add new words to the speech-to-text vocabulary when transcription errors are identified,"[{""step"": 1, ""action"": ""Identify the misheard word and what it should be""}, {""sql"": ""INSERT INTO vocabulary (word, category, misheard_as) VALUES ('NewWord', 'category', ARRAY['misheard1', 'misheard2'])"", ""step"": 2, ""action"": ""Add to vocabulary table with misheard variants""}, {""step"": 3, ""action"": ""Restart STT service to reload vocabulary"", ""command"": ""systemctl --user restart nova-stt-ws""}, {""step"": 4, ""action"": ""Test with voice input to confirm correction""}]","{psql,systemctl}",Vocabulary is loaded from nova_memory.vocabulary table on STT service startup. Changes require service restart.,2026-01-31 19:35:57.98672,2026-01-31 19:35:57.98672
6,Memory Extraction Pipeline,"Automated pipeline that processes chat messages to extract memories, facts, and vocabulary","[{""file"": ""~/clawd/scripts/memory-catchup.sh"", ""step"": 1, ""action"": ""memory-catchup.sh runs every minute via cron""}, {""step"": 2, ""action"": ""Finds new user messages from session transcripts""}, {""step"": 3, ""action"": ""Calls process-input.sh for each message (rate limited to 3/run)""}, {""step"": 4, ""action"": ""extract-memories.sh uses Claude to extract: entities, places, facts, opinions, preferences, events, relationships, vocabulary""}, {""step"": 5, ""action"": ""store-memories.sh inserts extracted data into PostgreSQL tables""}, {""step"": 6, ""action"": ""If NEW vocabulary words were added, STT service auto-restarts to load them""}, {""step"": 7, ""action"": ""No manual restart needed - vocabulary updates are automatic""}]","{memory-catchup.sh,process-input.sh,extract-memories.sh,store-memories.sh,psql}",Runs every minute. Extracts 8 categories including vocabulary for STT. Rate limited to 3 messages per run. STT service auto-restarts when new vocabulary is detected. Logs to ~/.clawdbot/logs/,2026-01-31 19:37:16.993806,2026-01-31 19:37:16.993806
7,Response Style,Break longer responses into multiple short messages for faster TTS,"[{""step"": 1, ""action"": ""Full content is fine - just chunk it""}, {""step"": 2, ""action"": ""Send 1-2 sentences per message""}, {""step"": 3, ""action"": ""Let each chunk complete before next""}, {""step"": 4, ""action"": ""Feels like natural conversation""}]","{chat,voice}",Not shorter content - just shorter chunks. User hears first part faster while rest generates.,2026-01-31 20:09:53.414903,2026-01-31 20:09:53.414903
8,scheduling,"Procedure for scheduling reminders, calendar events, cron jobs, or any time-based tasks","[{""step"": 1, ""action"": ""Confirm timezone"", ""details"": ""Query database: SELECT value FROM entity_facts WHERE entity_id = <id> AND key = 'current_timezone'; If not in database, ASK - never assume. People travel!""}, {""step"": 2, ""action"": ""Confirm date and time"", ""details"": ""Repeat back the scheduled time in THEIR timezone. Clarify AM/PM if ambiguous. Confirm date if near midnight or timezone boundaries.""}, {""step"": 3, ""action"": ""Use appropriate tool"", ""details"": ""Clawdbot cron for reminders/messages needing conversational context. Google Calendar for events/appointments. System cron for filesystem operations/scripts.""}, {""step"": 4, ""action"": ""Verify"", ""details"": ""Confirm the scheduled item was created with correct time in UTC.""}]","{cron,calendar,database}","Common timezone offsets: CT=UTC-6/-5, AT(Puerto Rico)=UTC-4 (no DST), ET=UTC-5/-4, PT=UTC-8/-7",2026-01-31 21:25:08.164684,2026-01-31 21:25:08.164684
9,schema_change_update,Update documentation when database schema changes. Triggered by pg-notify-listener.,"[{""step"": 1, ""action"": ""Inspect the change"", ""command"": ""psql -d nova_memory -c \""\\d TABLE_NAME\""""}, {""file"": ""~/clawd/MEMORY.md"", ""step"": 2, ""action"": ""Update MEMORY.md schema section""}, {""file"": ""~/clawd/nova-memory/schema.sql"", ""step"": 3, ""action"": ""Update schema.sql if new table/column""}, {""step"": 4, ""action"": ""Commit and push"", ""command"": ""cd ~/clawd/nova-memory && git add -A && git commit -m \""schema: CHANGE_DESCRIPTION\"" && git push""}]","{psql,git}",,2026-02-01 23:32:28.849825,2026-02-01 23:32:28.849825
10,system_change,Standard procedure for making changes to NOVA's host system (AWS EC2). Ensures all modifications are logged.,"[{""note"": ""Check with I)ruid if unsure"", ""step"": 1, ""action"": ""Verify the change is necessary and approved""}, {""step"": 2, ""action"": ""Document current state before change"", ""command"": ""Record what exists before modifying""}, {""note"": ""Use appropriate commands (systemctl, apt, etc.)"", ""step"": 3, ""action"": ""Make the change""}, {""step"": 4, ""action"": ""Verify the change succeeded"", ""command"": ""Test that the modification worked as expected""}, {""step"": 5, ""action"": ""Log to database"", ""command"": ""INSERT INTO events (event_date, title, description, source) VALUES (NOW(), 'System: <summary>', '<detailed description>', 'system_change');""}, {""step"": 6, ""action"": ""Link event to home location"", ""command"": ""INSERT INTO event_places (event_id, place_id) VALUES ((SELECT id FROM events ORDER BY id DESC LIMIT 1), 17);""}, {""file"": ""memory/YYYY-MM-DD.md"", ""step"": 7, ""action"": ""Update daily memory file if significant""}]","{psql,systemctl,apt,nmap}",,2026-02-02 01:37:45.488617,2026-02-02 01:37:45.488617
11,clawdbot_self_update,Procedure for updating Clawdbot while preserving local patches. Use when notified of available updates.,"[{""step"": 1, ""action"": ""Check for local patches"", ""command"": ""ls ~/clawd/backups/clawdbot-pre-hooks-patch-* | tail -1""}, {""sql"": ""SELECT notes FROM projects WHERE name = 'Clawdbot Self Modification'"", ""step"": 2, ""action"": ""List active patches and their PRs""}, {""step"": 3, ""action"": ""Check if PRs are merged"", ""command"": ""gh pr view 6797 --repo clawdbot/clawdbot --json state -q .state""}, {""step"": 4, ""action"": ""If PR merged: safe to update. If not: backup current patches"", ""command"": ""cp -r ~/.npm-global/lib/node_modules/clawdbot/dist/hooks ~/clawd/backups/clawdbot-hooks-$(date +%Y%m%d)""}, {""step"": 5, ""action"": ""Update Clawdbot"", ""command"": ""npm update -g clawdbot""}, {""step"": 6, ""action"": ""If PR was NOT merged: re-apply patches from fork"", ""command"": ""cp ~/clawd/clawdbot-fork/dist/hooks/*.js ~/.npm-global/lib/node_modules/clawdbot/dist/hooks/ && cp ~/clawd/clawdbot-fork/dist/auto-reply/dispatch.js ~/.npm-global/lib/node_modules/clawdbot/dist/auto-reply/ && cp ~/clawd/clawdbot-fork/dist/auto-reply/reply/reply-dispatcher.js ~/.npm-global/lib/node_modules/clawdbot/dist/auto-reply/reply/ && cp ~/clawd/clawdbot-fork/dist/signal/monitor/event-handler.js ~/.npm-global/lib/node_modules/clawdbot/dist/signal/monitor/""}, {""step"": 7, ""action"": ""Restart gateway"", ""command"": ""clawdbot gateway restart""}, {""step"": 8, ""action"": ""Verify hooks loaded"", ""command"": ""ls ~/.npm-global/lib/node_modules/clawdbot/dist/hooks/message-hooks.js""}, {""sql"": ""INSERT INTO events (title, description, event_date, source) VALUES ('Clawdbot Self-Update', 'Updated from vX to vY. Patches reapplied: [list]', NOW(), 'system')"", ""step"": 9, ""action"": ""Log the update event to database""}]",,,2026-02-02 02:53:45.578775,2026-02-02 02:53:45.578775
